2026-04-25 06:58:28,729 - ShadowDaemon - INFO - 🤖 Iniciando Shadow Evaluator V4.2 - Cargando Matrix...
2026-04-25 07:00:04,377 - ShadowDaemon - INFO - == [TICK] Símbolo: HBAR/USDT | Precio: $0.0911 ==
2026-04-25 07:00:04,377 - ShadowDaemon - INFO -   ➜ Acción IA: 1 | Shadow Bal: $999.50 | P(hold): 25.55% | Avg Hold: 0.0 velas
2026-04-25 07:05:07,571 - ShadowDaemon - INFO - == [TICK] Símbolo: HBAR/USDT | Precio: $0.0910 ==
2026-04-25 07:05:07,571 - ShadowDaemon - INFO -   ➜ Acción IA: 1 | Shadow Bal: $999.50 | P(hold): 25.55% | Avg Hold: 0.0 velas
2026-04-25 07:06:14,909 - ShadowDaemon - INFO - 🤖 Iniciando Shadow Evaluator V4.2 - Cargando Matrix...
2026-04-25 14:00:04,095 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:05:07,286 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:10:05,521 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:15:03,507 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:20:06,060 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:25:05,111 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:30:03,230 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:35:06,406 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:40:04,511 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:45:07,941 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:50:05,534 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 14:55:03,779 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:00:06,353 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:05:03,869 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:10:06,185 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:15:05,114 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:20:03,425 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:25:07,314 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:30:05,080 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:35:03,281 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:40:07,095 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:45:05,697 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:50:03,298 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 15:55:06,491 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:00:05,276 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:05:04,136 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:10:06,767 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:15:04,568 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:20:06,940 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:25:04,894 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:30:07,522 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:35:05,724 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:40:04,144 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:45:06,713 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:50:04,286 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 16:55:06,855 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 17:00:05,335 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 17:05:03,234 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 17:10:06,441 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 17:15:05,249 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
